emotions.csv
"I am feeling so happy today!",joy
"This is the best day ever!",joy
"I can’t stop smiling, everything feels perfect.",joy
"I am really sad and nothing seems right.",sadness
"Everything is falling apart, I feel broken.",sadness
"I just want to cry all day.",sadness
"I am so angry right now, this is unacceptable!",anger
"Why does everything make me furious?",anger
"I can’t control my anger anymore!",anger
"I am scared, this situation feels dangerous.",fear
"I feel so afraid and unsure about everything.",fear
"My heart is racing, I’m terrified.",fear
"This is disgusting, I can’t even look at it.",disgust
"Eww, that smells horrible!",disgust
"I feel so grossed out by this.",disgust
"Wow, I didn’t expect that to happen!",surprise
"Oh my God, that shocked me!",surprise
"I am genuinely surprised right now.",surprise
"I love spending time with my family.",joy
"I feel so lonely, like nobody understands me.",sadness
"I hate when people lie to me!",anger
"I fear losing the people I love.",fear
"That food tasted really awful.",disgust
"I found money on the road today!",surprise
"I feel excited about my future.",joy
"I feel depressed and empty inside.",sadness
"Stop bothering me! I’m really pissed!",anger
"I didn't see that coming at all!",surprise
"I am worried something bad might happen.",fear
